2878617798 = commodity_alien_artifacts, Artifacts
2999087814 = commodity_alien_organisms, Alien Organisms
2958831363 = commodity_aluminium, Aluminium
2273644554 = commodity_aluminium_ore, Aluminium Ore
2664163777 = commodity_basic_alloys, Basic Alloy
2678752399 = commodity_bd, Blood Dragon
2826972161 = commodity_belite, Bretonian Elite
2723152328 = commodity_beryllium, Beryllium
2446074761 = commodity_beryllium_ore, Beryllium Ore
2316167564 = commodity_bioprocessors, Bioneural Processors
2459074447 = commodity_blood_diamonds, Blood Diamonds
2569627651 = commodity_bm_munitions, Blackmarket Munitions
2678836367 = commodity_bn, Bretonia Navy Pilot
2810414853 = commodity_boron, Boron
3102487887 = commodity_bountyhunter, Bounty Hunter
2678592654 = commodity_bp, Bretonia Police Pilot
2676262919 = commodity_bradmiral, Bretonian Admiral
2960916737 = commodity_brcaptain, Bretonian Captain
2468587584 = commodity_brcommander, Bretonian Commander
2190914383 = commodity_bund, Bundschuh Pilot
2312093509 = commodity_cardamine, Cardamine
2825374475 = commodity_cigars, Cigars
3147243791 = commodity_cobalt, Cobalt
2417737284 = commodity_cobalt_ore, Cobalt Ore
2293586633 = commodity_construction_machinery, Robotics
2359289358 = commodity_consumer_goods, Consumer Goods
3054822349 = commodity_contactadmin, Contact Administrator
3200496391 = commodity_copper, Copper
2977356608 = commodity_copper_ore, Copper Ore
2700482755 = commodity_corsair, Corsair Pilot
2428359372 = commodity_council, Council Pilot
2614929154 = commodity_credit1, Credit Card (10.000)
3151813378 = commodity_credit2, Credit Card (100.000)
2614939394 = commodity_credit3, Credit Card (1.000.000)
3151766274 = commodity_credit4, Credit Card (10.000.000)
2614900482 = commodity_credit5, Credit Card (100.000.000)
3218143685 = commodity_crew, Crew
2970014724 = commodity_cryocubes, Cryocubes
2957115853 = commodity_deuterium, Deuterium
2815770241 = commodity_diamonds, Diamonds
2200535691 = commodity_elitepilot, Guard Pilot
2485991303 = commodity_elixers, Elixers
2571548236 = commodity_engine_components, Engine Components
3208249551 = commodity_fa, Farmers Alliance Pilot
2862341261 = commodity_fertilizers, Fertilizer
2461466442 = commodity_fine, SANCTION NOTIFICATION (GENERAL)
2836106624 = commodity_floragro, FloraGro
2863847232 = commodity_food, Food Rations
2561430403 = commodity_freelancer, Freelancer
2701418187 = commodity_furs, Furs
2300524164 = commodity_g, Gaian Pilot
2746477312 = commodity_ga_artifacts, Gallic Artifacts
3210920202 = commodity_gaadmiral, Gallic Admiral
2216530560 = commodity_gabrigands, Gallic Brigand Pilot
2426030092 = commodity_gacaptain, Gallic Captain
2857489985 = commodity_gacommander, Gallic Commander
2175257740 = commodity_gaianlife, Gaian Wildlife
2867485836 = commodity_gallic_fuel, Promethene
2834024714 = commodity_ganavy, Gallic Navy Pilot
2711808584 = commodity_gapolice, Gallic Police Pilot
2689773124 = commodity_gatecell, Nomad Power Cell
2364517892 = commodity_gatecell_bw12, Derelict Nomad Artifact
3208538309 = commodity_gc, Golden Crysanthemum
2808002054 = commodity_gcelitepilot, GC Guard Pilot
2678299019 = commodity_gmg, GMG Pilot
2866206539 = commodity_gold, Gold
2517992459 = commodity_gold_ore, Gold Ore
2866034054 = commodity_h_fuel, H-Fuel
2260643075 = commodity_hazmat_canisters, Hazmat Canisters
2831518734 = commodity_helium, Helium
2241728075 = commodity_helium3, Helium-3
2792430274 = commodity_high_temp_alloys, High Temperature Alloy
2522676160 = commodity_history, Discovery History
2748039051 = commodity_hog, Hogosha Pilot
2382918209 = commodity_holo_bands, Holo-tainment Bands
3134091851 = commodity_holosculptures, Holosculptures
2530414216 = commodity_humanorgans, Human Organs
2575917064 = commodity_hydrocarbons, Hydrocarbons
3170805706 = commodity_hypno_bands, Hypno-tainment Bands
2812523915 = commodity_img, IMG Pilot
2734967041 = commodity_industrial, Industrial Materials
2777584775 = commodity_introduction, Introduction
2605926668 = commodity_iridium, Iridium
2622384198 = commodity_junkers, Junker
2832165891 = commodity_kelite, Kusari Elite
2660224005 = commodity_kn, Kusari Navy Pilot
2659980292 = commodity_kp, Kusari Police Pilot
3199229194 = commodity_kuadmiral, Kusari Admiral
2437469196 = commodity_kucaptain, Kusari Captain
3064258062 = commodity_kucommander, Kusari Commander
2341989642 = commodity_kuwild, Kusari Wild
2462496902 = commodity_lanehacker, Lane Hacker Pilot
