2161571264 = admin_cannon, Administrator Cannon
2442888585 = dsy_hades, RoS Hades Pulse Cannon
2833552591 = fc_c_gun02_mark04, Inferno Pulse Cannon
2521120014 = fc_lr_gun02_mark01, LR Tartarus Pulse Cannon
2546794048 = dsy_minirazor, Mini Razor
2421570885 = nomad_torpedo02, Nomad Torpedo
2960932227 = torpedo01_mark01, Starkiller Torpedo
2424062339 = torpedo01_mark02, Sunslayer Torpedo
2960938371 = torpedo01_mark03, Nova Torpedo Launcher
2424074624 = torpedo02_mark01, Incapacitator Torpedo
2616094081 = dsy_nomad_torpedo02, Nomad Torpedo
3152968065 = dsy_nomad_torpedo03, Nomad Energy Torpedo
2322184653 = dsy_swarm01, Swarm Missile Pod
3152941441 = dsy_nomad_torpedo01, Nomad Singularity Cannon
2845744268 = dsy_snova_bhg, BHG SNAC
2847956168 = dsy_snova_bretlaw, Bretonia Lawful SNAC
2684749386 = dsy_snova_bretunlaw, Bretonia Unlawful SNAC
2375582343 = dsy_snova_civ, Civilian SNAC
2147775552 = dsy_snova_coalition, Coalition SNAC
2520055302 = dsy_snova_corsairs, Corsair SNAC
2692292929 = dsy_snova_galaw, Gallic Lawful SNAC
3110797447 = dsy_snova_gaunlaw, Gallic Unlawful SNAC
2948602634 = dsy_snova_kuslaw, Kusari Lawful SNAC
2229556106 = dsy_snova_kusunlaw, Kusari Unlawful SNAC
2410807430 = dsy_snova_liblaw, Liberty Lawful SNAC
2406857103 = dsy_snova_libunlaw, Liberty Unlawful SNAC
2693922690 = dsy_snova_order, Order SNAC
2320648005 = dsy_snova_outcasts, Outcasts SNAC
3057618116 = dsy_snova_phantom, Phantom SNAC
3220902858 = dsy_snova_reaper, RoS SNAC
2857129992 = dsy_snova_rheinlaw, Rheinland Lawful SNAC
2769847945 = dsy_snova_rheinunlaw, Rheinland Unlawful SNAC
2345765581 = dsy_snova_xeno, Xeno SNAC
2618555596 = torpedo02_mark022, Generic SNAC
2215416077 = ga_gunboat_forward_gun01, Gallic Gunboat Forward Gun
2569966862 = bh_gunboat_forward_gun01, Orca Forward Cannon
2150007048 = dsy_asashio_forward_gun, Dragon GB Forward Cannon
2920453062 = br_gunboat_forward_gun01, Bretonia Gunboat Large Forward Gun
2262524751 = ku_gunboat_forward_gun01, Kusari Gunboat Large Forward Gun
2671113411 = li_gunboat_forward_gun01, Liberty Gunboat Forward Gun
3107709188 = rh_gunboat_forward_gun01, Rheinland Gunboat Large Forward Gun
2768775501 = asco_torpedo1, Asco Forward Torpedo
2205164231 = dsy_kagutsuchi_forward, Dragon CR Forward Cannon
2909563015 = li_cruiser_forward_gun01, Liberty Cruiser Forward Gun
2637746767 = nomad_fwdgun, Nomad Forward Gun (nomad_fwdgun)
3218414793 = tundra_forward_gun, Glacier Tundra Forward Gun
3161862927 = gallicbs_forward_gun01, Gallic BS Forward Gun
3161659909 = jormungand_forward_gun01, Hessian BS Forward Gun
2782804045 = br_gun01_mark01, Ripper (Class 4)
2245936205 = br_gun01_mark02, Adv. Ripper (Class 5)
2782810189 = br_gun01_mark03, Dissolver (Class 6)
2245966925 = br_gun01_mark04, Adv. Dissolver (Class 7)
2782832717 = br_gun01_mark05, Splitter
2245973069 = br_gun01_mark06, Adv. Splitter
2245948494 = br_gun02_mark01, Skyrail (Class 4)
2782791758 = br_gun02_mark02, Adv. Skyrail (Class 5)
2245925966 = br_gun02_mark03, Sunrail (Class 6)
2782851150 = br_gun02_mark04, Adv. Sunrail (Class 7)
2245977166 = br_gun02_mark05, Ultra Sunrail
2782828622 = br_gun02_mark06, Imp. Sunrail
2797446218 = co_gun01_mark01, Starbeam (Class 1)
2260588618 = co_gun01_mark02, Adv. Starbeam (Class 2)
2797456458 = co_gun01_mark03, Heavy Starbeam (Class 3)
2260541514 = co_gun01_mark04, Flashpoint (Class 6)
2797417546 = co_gun01_mark05, Adv. Flashpoint (Class 7)
2260551754 = co_gun01_mark06, Heavy Flashpoint (Class 8)
2797427786 = co_gun01_mark07, Heavy Flashpoint
2260592713 = co_gun02_mark01, Stunpulse (Class 2 ShieldBuster)
2797442121 = co_gun02_mark02, Adv. Stunpulse (Class 3 ShieldBuster)
2260566089 = co_gun02_mark03, Debilitator (Class 7 ShieldBuster)
2797431881 = co_gun02_mark04, Adv. Debilitator (Class 8 ShieldBuster)
2260564041 = co_gun02_mark05, Imp. Debilitator
2797405257 = co_gun02_mark06, Adv. Debilitator Mk II
2260537417 = co_gun02_mark07, Imp. Debilitator Mk II
2191873741 = cou_gun01_mark01, Bastard Culverin I
2728733389 = cou_gun01_mark02, Bastard Culverin II
2728729294 = cou_gun02_mark01, Falconet
2191877838 = cou_gun02_mark02, Falcon
2620074375 = dsy_ahriman_mark01, Ahriman Plasma Cannon
3206537742 = dsy_bluebell, Bluebell
2240801101 = dsy_bomber_gun01, Bomber EMP Cannon
2777650509 = dsy_bomber_gun02, Bomber Energy Cannon
2960946561 = torpedo03_mark01, Hellfire Bomber Rocket Gun
3028225225 = dsy_claymore, CLAYMORE (dsy_claymore)
2390953219 = dsy_col_gun01, Colonial TEW-A Gun
2927849731 = dsy_col_gun02, Colonial TEW-B Gun
2390975747 = dsy_col_gun03, Colonial TEW-C Gun
2527916556 = dsy_dulzian, DULZIAN
2677651141 = dsy_eco, Eco Chaingun
2340659717 = dsy_goddess, Purple Goddess
2158362249 = dsy_heimdall, HEIMDALL (dsy_heimdall)
3093281665 = dsy_hellion_mark01, Hellion Pulse Cannon
3075206529 = dsy_kintano, KINTANO
3185197188 = dsy_lamia_mark01, Lamia Mark 1
2609987786 = dsy_medusa, MEDUSA
2451053961 = dsy_phoenix, PHOENIX
2715258182 = dsy_ragnarok, RAGNAROK
2514738625 = dsy_solaris, SOLARIS
2406928846 = dsy_taranis, TARANIS
2485072456 = dsy_wildfire, Wildfire
3164894412 = fc_b_gun01_mark01, Luger Type A (Class 6)
2627995852 = fc_b_gun01_mark02, Luger Type B (Class 7)
3164871884 = fc_b_gun01_mark03, Luger Type C (Class 8)
2628055244 = fc_b_gun01_mark04, Luger Type D
2335807624 = fc_bd_gun01_mark01, Tanto (Class 5)
2872697992 = fc_bd_gun01_mark02, Wakizashi (Class 6)
2335830152 = fc_bd_gun01_mark03, Katana (Class 7)
2872646792 = fc_bd_gun01_mark04, Gendaito (Class 8)
2335770760 = fc_bd_gun01_mark05, Daito
3065555082 = fc_br_gun01_mark01, Arquebus I
2528695434 = fc_br_gun01_mark02, Arquebus II
2833538252 = fc_c_gun01_mark01, Angelito Mk I (Class 5)
2296651980 = fc_c_gun01_mark02, Angelito Mk II (Class 6)
2833528012 = fc_c_gun01_mark03, Angelito Mk III (Class 7)
2296699084 = fc_c_gun01_mark04, Salamanca Mk I (Class 8)
