2151746432 = ge_fighter, Starflier (SPECIAL New Player, Civilian)
2680731854 = dsy_action6, Corsair Gunboat
3179904012 = dsy_advanced_train, Civ Advanced Train (Stork)
2399021254 = dsy_albatross, IMG Battlecruiser
2458829517 = dsy_algmover, ALG Heavy Transport
3140399042 = dsy_arbeiter, Unioner VHF (Arbeiter)
2720996613 = dsy_armored, Civ Armored Transport (Pelican)
2158691018 = dsy_arrow, Civ LF (Arrow)
2416079625 = dsy_arwing, Corsair HF (Gladiator)
2346396168 = dsy_asashio, BD Gunboat
3089412484 = dsy_asco, Brigand Gunboat
2344164036 = dsy_assaultfrigate, Liberty Battlecruiser (LABC)
2582735112 = dsy_barge, Barge (is large)
2525633984 = dsy_barghest, Rogue Bomber (Barghest)
2169699522 = dsy_battlestar, Colonial Battleship (Kronos)
3178632067 = dsy_bayonet, Hacker HF (Bayonet)
2880131594 = dsy_bd_fighter2, BD LF (Tanto)
2552862720 = dsy_bdbomb, BD Bomber (Nodachi)
2618628940 = dsy_beetle, Kusari Yacht (Geisha)
3146326282 = dsy_behemoth, Rheinland Transport (Behemoth)
3093718406 = dsy_bh_elite, BH HF (Barracuda)
2256534158 = dsy_bh_elite2, BH VHF (Hammerhead)
2793401998 = dsy_bh_elite3, BH VHF MK2 (Manta)
2929440394 = dsy_bh_fighter, BH LF (Piranha)
2611456522 = dsy_bh_fighter2, BH LF MK2 (Sea Serpent)
3089749760 = dsy_bhbomb, BH Bomber 
2369340867 = dsy_bigdragon, Kusari Transport (Big Dragon)
3173241922 = dsy_blackdragon, Hogosha VHF (Black Dragon)
2363890822 = dsy_br_elite, Bretonia HF (Crusader)
2250019456 = dsy_br_elite2, Bretonia VHF (Templar)
2918427850 = dsy_br_fighter, Bretonia LF (Cavalier)
2478591498 = dsy_br_fighter2, Bretonia LF MK2 (Hussar)
2365092616 = dsy_br_gunboat, Bretonia Gunboat
2871486343 = dsy_br_destroyer, Bretonia Destroyer
2557962436 = dsy_br_battleship, Bretonia Battleship
2625322186 = dsy_br_freighter, Bretonia Freighter (Clydesdale)
2762681668 = dsy_bret_ctrans, Bretonia Heavy Transport (Shire)
3209105039 = dsy_bretsupertransport, Bretonia Train (Shetland)
2514336707 = dsy_brliner, Bretonia Liner
3106531273 = dsy_broadsword, Hacker Bomber (Broadsword)
2174263685 = dsy_bsg, Zoner Carrier (Aquilon)
