2799531210 = ge_s_tractor_01, Tractor Beam
2444247501 = dsy_license_li_n_grp, Liberty Navy License
2712705101 = dsy_license_li_p_grp, Liberty Police License
2691809859 = dsy_license_br_n_grp, Bretonia Armed Forces ID
2423331779 = dsy_license_br_p_grp, Bretonia Police ID
2595285962 = dsy_license_ku_n_grp, Kusari Naval Forces ID
2863673930 = dsy_license_ku_p_grp, Kusari State Police ID
2492709703 = dsy_license_rh_n_grp, Rheinland Military ID
2761122503 = dsy_license_rh_p_grp, Rheinland Police ID
2832357770 = dsy_license_co_shi_grp, Samura Industries ID
2261937418 = dsy_license_co_khc_grp, Daumann Heavy Construction ID
3174203469 = dsy_license_co_kt_grp, Kishiro Technologies ID
3094462851 = dsy_license_br_m_grp, Bretonia Mining & Metals ID
3039663362 = dsy_license_co_me_grp, Deep Space Engineering ID
3044889871 = dsy_license_co_be_grp, Border World Exports ID
2246690447 = dsy_license_co_rs_grp, Republican Shipping ID
2382153669 = dsy_license_co_vr_grp, Ageira Technologies ID
2502040069 = dsy_license_co_ni_grp, Synth Foods
2358491271 = dsy_license_rh_m_grp, Kruger Minerals ID
2515966464 = dsy_license_co_ti_grp, Planetform
2235077256 = dsy_license_co_ic_grp, Interspace Commerce ID
2246870669 = dsy_license_co_ss_grp, Universal Shipping ID
2445491533 = dsy_license_co_hsp_grp, Cryer Pharmaceuticals ID
2252830976 = dsy_license_co_alg_grp, ALG Waste Disposal ID
2233960071 = dsy_license_co_os_grp, Orbital Spa and Cruise ID
2522231175 = dsy_license_co_nws_grp, Gateway Shipping ID
2570155655 = dsy_license_fc_c_grp, Corsair ID
3047306241 = dsy_license_fc_ou_grp, Outcast ID
2641145417 = dsy_license_fc_rh_grp, Red Hessian ID
3187204425 = dsy_license_fc_bd_grp, Blood Dragon ID
2435923399 = dsy_license_fc_j_grp, Junker ID
2167488327 = dsy_license_fc_h_grp, Hogosha ID
2838575879 = dsy_license_fc_m_grp, Molly ID
2167515975 = dsy_license_fc_x_grp, Xeno Terrorist ID
2435938247 = dsy_license_fc_b_grp, Bundschuh ID
3107025799 = dsy_license_fc_g_grp, Gaian ID
2645372486 = dsy_license_fc_lh_grp, Lane Hacker ID
2838619399 = dsy_license_fc_u_grp, Unioner ID
2246616961 = dsy_license_fc_gc_grp, Golden Crysanthemum ID
2439237575 = dsy_license_fc_lwb_grp, LWB ID
2515395843 = dsy_license_fc_fa_grp, Farmers Alliance ID
2376987334 = dsy_license_fc_lr_grp, Liberty Rogue ID
2376217281 = dsy_license_fc_or_grp, The Order ID
2516334348 = dsy_license_gd_gm_grp, GMG ID
2972793031 = dsy_license_fc_n_grp, Nomad ID
2510927619 = dsy_license_gd_im_grp, IMG ID
2884739142 = dsy_license_gd_z_grp, Zoner ID
3186389828 = dsy_license_gd_bh_grp, Bounty Hunter ID
3088336077 = dsy_license_li_lsf_grp, Liberty Security Force ID
2964727819 = dsy_license_phantom, Phantom ID
2378715979 = dsy_license_terrorist, Terrorist ID
2294587915 = dsy_license_neutral, Neutral ID
2653484614 = dsy_license_mercenary, Mercenary ID
3054838599 = dsy_license_freelancer, Freelancer ID
2962917890 = dsy_license_military, Recruit ID
2299120331 = dsy_license_pirate, Pirate ID
2808273097 = dsy_license_trader, Trader ID
2763612494 = dsy_license_miner, Miner ID
2208766467 = dsy_license_smuggler, Smuggler ID
3211652865 = dsy_license_criminal, Criminal ID
2300739777 = dsy_license_admin, Administrator ID
2500114242 = dsy_license_aw, Hellfire Legion ID
3219122498 = dsy_license_helghast, AI ID
2810678658 = dsy_license_coalition, Coalition ID
3111658753 = dsy_license_novapg, Reapers of Sirius ID
3128192583 = dsy_license_nomadguard, Keeper ID
2675382349 = dsy_license_fc_wild, The Wild ID
2990608264 = dsy_license_civilian, Civilian ID
2675488068 = dsy_license_slaver, Slaver ID
2430352777 = dsy_license_researcher, Researcher ID
2912313544 = dsy_license_vigilante, Vigilante ID
2853192897 = dsy_license_specop, Special Operative ID
2653387845 = dsy_license_privateer, Bretonian Privateer ID
2485872327 = dsy_license_marineintel, Marinenachrichtendienst ID
2433323212 = dsy_license_kempetei, Kempetei ID
3022169033 = dsy_license_hf, Nomad Trial ID
3025247878 = dsy_license_lsfguard, Liberty Security Force Guard ID
2643261900 = dsy_license_bretoniaintel, Bretonian Intelligence Service ID
2511676037 = dsy_license_interspaceneural, Interspace Neuralnet Division ID
2626106690 = dsy_license_colonialremnant, Colonial Remnant ID
2321580232 = dsy_license_li_n_guardian, Liberty Navy Guard ID
2457799880 = dsy_license_li_p_guardian, Liberty Police Inc. Guard ID
2373359951 = dsy_license_br_n_guardian, Bretonia Armed Forces Guard ID
2506691919 = dsy_license_br_p_guardian, Bretonia Police Guard ID
2311288398 = dsy_license_ku_n_guardian, Kusari Naval Forces Guard ID
2447178318 = dsy_license_ku_p_guardian, Kusari State Police Guard ID
2239730312 = dsy_license_rh_n_guardian, Rheinland Military Guard ID
2640322184 = dsy_license_rh_p_guardian, Rheinland Police Guard ID
2875390538 = dsy_license_fc_c_guardian, Corsair Guard ID
2433180612 = dsy_license_fc_ou_guardian, Outcast Guard ID
2845569295 = dsy_license_fc_rh_guardian, Red Hessian Guard ID
2297891215 = dsy_license_fc_bd_guardian, Blood Dragon Guard ID
2674614346 = dsy_license_fc_j_guardian, Junker Guard ID
3077141578 = dsy_license_fc_h_guardian, Hogosha Guard ID
3010205258 = dsy_license_fc_m_guardian, Molly Guard ID
3078100042 = dsy_license_fc_x_guardian, Xeno Terrorist Guard ID
3210997834 = dsy_license_fc_b_guardian, Bundschuh Guard ID
3144061514 = dsy_license_fc_g_guardian, Gaian Guard ID
