2259240647 = br_turret01_mark01, Ripper Turret (Class 1)
2796108487 = br_turret01_mark02, Adv. Ripper Turret (Class 1)
2259234503 = br_turret01_mark03, Dissolver Turret (Class 1)
2796143303 = br_turret01_mark04, Adv. Dissolver Turret (Class 1)
2796096196 = br_turret02_mark01, Skyrail Turret (Class 1)
2259252932 = br_turret02_mark02, Adv. Skyrail Turret (Class 1)
2796118724 = br_turret02_mark03, Sunrail Turret (Class 1)
2259259076 = br_turret02_mark04, Adv. Sunrail Turret (Class 1)
2759818753 = co_turret01_mark01, Starbeam Turret (Class 1)
2222916097 = co_turret01_mark02, Adv. Starbeam Turret (Class 1)
2759792129 = co_turret01_mark03, Flashpoint Turret (Class 1)
2222928386 = co_turret02_mark01, Stunpulse Turret (Class 1 ShieldBuster)
2759806466 = co_turret02_mark02, Debilitator Turret (Class 1 ShieldBuster)
2222938626 = co_turret02_mark03, Adv. Debilitator Turret (Class 1 ShieldBuster)
2759833090 = co_turret02_mark04, Adv. Debilitator Turret Mk II (Class 1 Shieldbuster)
2949140865 = cou_turret01_mark01, Bastard Culverin I Turret (Class 1)
2412256642 = cou_turret02_mark01, Falconet Turret (Class 1)
3204563910 = dsy_bluebellturret, Bluebell Turret (Class 1)
3067978246 = dsy_col_turfi01, Colonial TEW-AT Turret (Class 1)
2320708097 = dsy_ecoturret, Fighter Mining Turret (Class 1)
2204021261 = dsy_wildfireturret, Wildfire Turret (Class 1)
2395636173 = fc_b_turret01_mark01, Luger Turret Type A (Class 1)
2932538829 = fc_b_turret01_mark02, Luger Turret Type B (Class 1)
2619596617 = fc_bd_turret01_mark01, Tanto Turret (Class 1)
3156452169 = fc_bd_turret01_mark02, Katana Turret (Class 1)
2263352064 = fc_br_turret01_mark01, Arquebus I Turret (Class 1)
2329930695 = fc_c_turret01_mark01, Angelito Turret Mk I (Class 1)
2866780103 = fc_c_turret01_mark02, Angelito Turret Mk II (Class 1)
2866784196 = fc_c_turret02_mark01, Borroco Turret (Class 1 ShieldBuster)
2329926596 = fc_c_turret02_mark02, Rapier Turret (Class 1 ShieldBuster)
3154949641 = fc_coa_turret01_mark02, Kalashnikov AK-1 Turret (Class 1)
2454148168 = fc_cor_turret01_mark01, Minion Turret (Class 1)
2642671556 = fc_fa_turret01_mark01, Vulture 4 Turret (Class 1)
2588591045 = fc_g_turret01_mark01, Gaia's Salvation Turret (Class 1)
2158061892 = fc_gc_turret01_mark01, Suncannon C Turret (Class 1)
2812937673 = fc_h_turret01_mark01, Drake Turret Type A (Class 1)
2276096457 = fc_h_turret01_mark02, Drake Turret Type B (Class 1)
2499398464 = fc_hf_turret01_mark01, Hellfire Judgement Turret (Class 1)
2950730184 = fc_j_turret01_mark01, Barrager Turret Mk I (Class 1)
2413882824 = fc_j_turret01_mark02, Barrager Turret Mk II (Class 1)
2950756808 = fc_j_turret01_mark03, Barrager Turret Mk III (Class 1)
2413827528 = fc_j_turret01_mark04, Barrager Turret Mk IV (Class 1)
3089894851 = fc_lh_turret01_mark01, Hellflurry Turret Mk I (Class 1)
2553049539 = fc_lh_turret01_mark02, Hellflurry Turret Mk II (Class 1)
3089917379 = fc_lh_turret01_mark03, Hellflurry Turret Mk IV (Class 1)
2472077709 = fc_lr_turret01_mark01, Zaphiel Turret (Class 1)
3008927117 = fc_lr_turret01_mark02, Badariel Turret (Class 1)
2472051085 = fc_lr_turret01_mark03, Sapiel Turret (Class 1)
3008916877 = fc_lr_turret01_mark04, Thoth Turret (Class 1)
2530392904 = fc_lwb_turret01_mark01, Adv. Eliminator Turret (Class 1)
3005892545 = fc_m_turret01_mark01, Dublin Duster Turret Mk I (Class 1)
2469018561 = fc_m_turret01_mark02, Dublin Duster Turret Mk II (Class 1)
2289794381 = fc_ma_turret01_mark01, Demi-Culverin I (Class 1)
2896229966 = fc_or_turret01_mark01, Death's Hand Turret Mk I (Class 1)
2359331406 = fc_or_turret01_mark02, Death's Hand Turret Mk II (Class 1)
2359343693 = fc_or_turret02_mark01, Reaper Turret Mk I (Class 1)
2896217677 = fc_or_turret02_mark02, Reaper Turret Mk II (Class 1)
2959745095 = fc_ou_turret01_mark01, Dragoon Turret Type 1 (Class 1)
2422889543 = fc_ou_turret01_mark02, Dragoon Turret Type 2 (Class 1)
2959755335 = fc_ou_turret01_mark03, Wyrm Turret (Class 1)
2422893636 = fc_ou_turret02_mark01, Pyros Turret Type 1 (Class 1)
2959740996 = fc_ou_turret02_mark02, Pyros Turret Type 2 (Class 1)
2422867012 = fc_ou_turret02_mark03, Kraken Turret (Class 1)
2172498889 = fc_ouk_turret01_mark03, Scythe MK1
2709389258 = fc_ouk_turret02_mark03, Sickle MK1
3120401870 = fc_rh_turret01_mark01, Natter Turret (Class 1)
2583556558 = fc_rh_turret01_mark02, Roter Blitz Turret (Class 1)
2417244046 = fc_u_turret01_mark01, Protector Mk III Turret (Class 1)
2780718467 = fc_x_turret01_mark01, Suntiger Turret (Class 1)
2292889730 = ga_turret01_mark01, Culverin Turret (Class 1)
2829776001 = ga_turret02_mark01, Musket Turret (Class 1)
2617007876 = gco_turret01_mark01, Pot-de-fer I Turret (Class 1)
3153859335 = gco_turret02_mark01, Carbine I Turret (Class 1)
2900244931 = gd_bh_turret01_mark01, Gunslinger Turret Mk I (Class 1)
2363377091 = gd_bh_turret01_mark02, Gunslinger Turret Mk II (Class 1)
2900251075 = gd_bh_turret01_mark03, Winchester Turret (Class 1)
2363407811 = gd_bh_turret01_mark04, Reaver Turret (Class 1)
2363389376 = gd_bh_turret02_mark01, Brave Turret (Class 1)
2900232640 = gd_bh_turret02_mark02, Warrior Turret (Class 1)
3088456655 = gd_gm_turret01_mark01, Sunblast Turret (Class 1)
2551605199 = gd_gm_turret01_mark02, Skyblast Turret A (Class 1)
2913399106 = gd_im_turret01_mark01, Matterthief Turret (Class 1)
2376502594 = gd_im_turret01_mark02, Vampire Turret 1 (Class 1)
2913376578 = gd_im_turret01_mark03, Vampire Turret 2 (Class 1)
2509614920 = gd_z_turret01_mark01, Helios Turret (Class 1)
3046495048 = gd_z_turret01_mark02, Fury Turret (Class 1)
2509621064 = gd_z_turret01_mark03, Fury 2 Turret (Class 1)
2768965381 = ku_turret01_mark01, Scrambler Turret 1 (Class 1)
2232120069 = ku_turret01_mark02, Scrambler Turret 2 (Class 1)
2768987909 = ku_turret01_mark03, Disinfector Turret (Class 1)
2232107782 = ku_turret02_mark01, Sunfury Turret 1 (Class 1)
2768977670 = ku_turret02_mark02, Sunfury Turret 2 (Class 1)
2232101638 = ku_turret02_mark03, Sunfrenzy Turret (Class 1)
3161989646 = li_turret01_mark01, Justice Turret Mk I (Class 1)
2625134094 = li_turret01_mark02, Justice Turret Mk II (Class 1)
3161999886 = li_turret01_mark03, Vengeance Turret (Class 1)
2625162766 = li_turret01_mark06, Vengeance Mk III Turret (Class 1)
2625181198 = li_turret01_mark08, Vengeance Mk IV Turret (Class 1)
2625138189 = li_turret02_mark01, Lavablade Turret Mk I (Class 1)
3161985549 = li_turret02_mark02, Lavablade Turret Mk II (Class 1)
2625111565 = li_turret02_mark03, Magma Hammer Turret (Class 1)
3162040845 = li_turret02_mark04, Magma Hammer Turret Mk IV (Class 1)
2617748622 = loot_turret01, Rowlett's Revenge (Class 1)
3116156937 = rh_turret01_mark01, Stealthblade Turret Mk I (Class 1)
2579280905 = rh_turret01_mark02, Stealthblade Turret Mk II (Class 1)
3116146697 = rh_turret01_mark03, Hornviper Turret (Class 1)
2579268618 = rh_turret02_mark01, Flamecurse Turret Mk I (Class 1)
3116169226 = rh_turret02_mark02, Flamecurse Turret Mk II (Class 1)
2579295242 = rh_turret02_mark03, Firekiss Turret (Class 1)
2259277511 = br_turret01_mark05, Splitter Turret (Class 2)
2796133060 = br_turret02_mark05, Imp. Sunrail Turret (Class 2)
2412260737 = cou_turret01_mark02, Bastard Culverin II Turret (Class 2)
2949144962 = cou_turret02_mark02, Falcon Turret (Class 2)
2531122694 = dsy_col_turfi02, Colonial TEW-BT Turret (Class 2)
2309767746 = dsy_goddessturret, Goddess Turret (Class 2)
2171123971 = dsy_recreant_turret, Recreant Turret (Class 2)
2395662797 = fc_b_turret01_mark03, Luger Turret Type C (Class 2)
